"STATE_CODE","ZONE_CODE","SERVICE_TYPE","SERVICE","PANEL_CODE","PRICE_BY_SESSION","ADDBY","UPDBY"
12,,rtw_st_phy,rtw_s20_che,rtw_DAMAI_KK,,30.0,,
12,,rtw_st_phy,rtw_s21_che,rtw_K.K_KK,,80.0,,
12,,rtw_st_phy,rtw_s21_che,rtw_MOVE_KK,,50.0,,
12,,rtw_st_phy,rtw_s21_che,rtw_DAMAI_KK,,60.0,,
12,,rtw_st_serv_by_mod,rtw_s193_bas,rtw_TAWAU_TAWAU,,50.0,,
12,,rtw_st_serv_by_mod,rtw_s168_bas,rtw_TAWAU_TAWAU,,30.0,,
13,,rtw_st_phy,rtw_s223_phy,rtw_DOCUMENTATION_ DBC KUCHING,,143.0,,
13,,rtw_st_phy,rtw_s223_phy,rtw_REJANG_SIBU,,60.0,,
13,,rtw_st_phy,rtw_s223_phy,rtw_TAGS_KUCHING,,70.0,,
13,,rtw_st_phy,rtw_s223_phy,rtw_TAGS_MIRI,,70.0,,
13,,rtw_st_phy,rtw_s223_phy,rtw_COLUMBIA,,100.0,,
13,,rtw_st_phy,rtw_s223_phy,rtw_NORMAH_KUCHING,,80.0,,
13,,rtw_st_phy,rtw_s223_phy,rtw_REHAB_KUCHING,,70.0,,
13,,rtw_st_phy,rtw_s223_phy,rtw_COLUMBIA_TRUEPEAC,,70.0,,
13,,rtw_st_occ,rtw_s25_occ,rtw_NORMAH_KUCHING,,80.0,,
13,,rtw_st_occ,rtw_s25_occ,rtw_REHAB_KUCHING,,80.0,,
13,,rtw_st_spe,rtw_s155_spe,rtw_NORMAH_KUCHING,,130.0,,
13,,rtw_st_spe,rtw_s155_spe,rtw_REHAB_KUCHING,,130.0,,
13,,rtw_st_phy,rtw_s32_hom,rtw_NORMAH_KUCHING,,100.0,,
13,,rtw_st_ass,rtw_s49_gen,rtw_DOCUMENTATION_ DBC KUCHING,,195.0,,
13,,rtw_st_fun,rtw_s64_bas,rtw_DOCUMENTATION_ DBC KUCHING,,220.0,,
13,,rtw_st_phy,rtw_s20_che,rtw_REHAB_KUCHING,,30.0,,
13,,rtw_st_phy,rtw_s21_che,rtw_REHAB_KUCHING,,70.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_DOCUMENTATION_DBC HQ,,143.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_DOCUMENTATION_DBC TTDI,,143.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_DOCUMENTATION_DBC JALAN KUCHING,,143.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_PUSAT_JALAN IPOH,,80.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_PARKCITY_DESA PARK CITY,,80.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_TAGS_HQ,,70.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_KPJ_JALAN PAHANG,,120.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_TAMAN_TAMAN DESA,,80.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_NURSINAR_TAMAN SETIAWANGSA,,80.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_WQ_SRI RAMPAI,,90.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_APPLE_DESA PANDAN,,90.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_YOUR_HQ,,91.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_WORLD_AMPANG,,60.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_DIAMAGNETIC_CHERAS,,135.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_BAINS,,80.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_HOSPITAL,,80.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_GLOBAL,,80.0,,
14,,rtw_st_occ,rtw_s25_occ,rtw_PARKCITY_DESA PARK CITY,,80.0,,
14,,rtw_st_occ,rtw_s25_occ,rtw_KPJ_JALAN PAHANG,,120.0,,
14,,rtw_st_occ,rtw_s25_occ,rtw_WQ_SRI RAMPAI,,90.0,,
14,,rtw_st_occ,rtw_s25_occ,rtw_APPLE_DESA PANDAN,,85.0,,
14,,rtw_st_occ,rtw_s154_tra,rtw_KPJ_JALAN PAHANG,,80.0,,
14,,rtw_st_spe,rtw_s155_spe,rtw_PARKCITY_DESA PARK CITY,,80.0,,
14,,rtw_st_spe,rtw_s155_spe,rtw_KPJ_JALAN PAHANG,,150.0,,
14,,rtw_st_spe,rtw_s155_spe,rtw_WQ_SRI RAMPAI,,150.0,,
14,,rtw_st_spe,rtw_s155_spe,rtw_APPLE_DESA PANDAN,,120.0,,
14,,rtw_st_phy,rtw_s11_hyd,rtw_PARKCITY_DESA PARK CITY,,80.0,,
14,,rtw_st_phy,rtw_s11_hyd,rtw_WQ_SRI RAMPAI,,80.0,,
14,,rtw_st_psy,rtw_s156_psy,rtw_KPJ_JALAN PAHANG,,110.0,,
14,,rtw_st_psy,rtw_s156_psy,rtw_WQ_SRI RAMPAI,,110.0,,
14,,rtw_st_phy,rtw_s32_hom,rtw_MY_BUKIT JALIL,,80.0,,
14,,rtw_st_phy,rtw_s32_hom,rtw_BAINS,,100.0,,
14,,rtw_st_phy,rtw_s32_hom,rtw_HMC_SHAH ALAM,,100.0,,
14,,rtw_st_con,rtw_s157_reh,rtw_KPJ_JALAN PAHANG,,180.0,,
14,,rtw_st_con,rtw_s157_reh,rtw_WQ_SRI RAMPAI,,190.0,,
14,,rtw_st_con,rtw_s158_reh,rtw_KPJ_JALAN PAHANG,,90.0,,
14,,rtw_st_con,rtw_s158_reh,rtw_WQ_SRI RAMPAI,,190.0,,
14,,rtw_st_con,rtw_s159_med,rtw_WQ_SRI RAMPAI,,50.0,,
14,,rtw_st_ass,rtw_s49_gen,rtw_DOCUMENTATION_DBC HQ,,195.0,,
14,,rtw_st_ass,rtw_s49_gen,rtw_DOCUMENTATION_DBC TTDI,,195.0,,
14,,rtw_st_ass,rtw_s49_gen,rtw_DOCUMENTATION_DBC JALAN KUCHING,,195.0,,
14,,rtw_st_ass,rtw_s49_gen,rtw_WORLD_AMPANG,,80.0,,
14,,rtw_st_ass,rtw_s49_gen,rtw_BAINS,,80.0,,
14,,rtw_st_ass,rtw_s51_neu,rtw_WQ_SRI RAMPAI,,120.0,,
14,,rtw_st_ass,rtw_s60_sen,rtw_WQ_SRI RAMPAI,,80.0,,
14,,rtw_st_ass,rtw_s161_cog,rtw_WQ_SRI RAMPAI,,160.0,,
14,,rtw_st_ass,rtw_s61_cli,rtw_WQ_SRI RAMPAI,,100.0,,
14,,rtw_st_ass,rtw_s62_vis,rtw_WQ_SRI RAMPAI,,120.0,,
14,,rtw_st_ass,rtw_s55_dri,rtw_WQ_SRI RAMPAI,,550.0,,
14,,rtw_st_ass,rtw_s57_pro,rtw_WQ_SRI RAMPAI,,250.0,,
14,,rtw_st_ass,rtw_s58_spe,rtw_KPJ_JALAN PAHANG,,250.0,,
14,,rtw_st_ass,rtw_s58_spe,rtw_WQ_SRI RAMPAI,,250.0,,
14,,rtw_st_ass,rtw_s59_psy,rtw_KPJ_JALAN PAHANG,,200.0,,
14,,rtw_st_ass,rtw_s59_psy,rtw_WQ_SRI RAMPAI,,250.0,,
14,,rtw_st_fun,rtw_s64_bas,rtw_DOCUMENTATION_DBC HQ,,220.0,,
14,,rtw_st_fun,rtw_s64_bas,rtw_DOCUMENTATION_DBC TTDI,,220.0,,
14,,rtw_st_fun,rtw_s64_bas,rtw_DOCUMENTATION_DBC JALAN KUCHING,,220.0,,
14,,rtw_st_fun,rtw_s64_bas,rtw_BAINS,,80.0,,
14,,rtw_st_fun,rtw_s65_com,rtw_KPJ_JALAN PAHANG,,550.0,,
14,,rtw_st_fun,rtw_s65_com,rtw_WQ_SRI RAMPAI,,550.0,,
14,,rtw_st_fun,rtw_s66_byp,rtw_KPJ_JALAN PAHANG,,200 - 500,,
14,,rtw_st_fun,rtw_s66_byp,rtw_WQ_SRI RAMPAI,,200 - 500,,
14,,rtw_st_phy,rtw_s18_alt,rtw_KPJ_JALAN PAHANG,,150.0,,
14,,rtw_st_phy,rtw_s19_tbi,rtw_KPJ_JALAN PAHANG,,80.0,,
14,,rtw_st_dry,rtw_s76_dry,rtw_BAINS,,40.0,,
14,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_PARKCITY_DESA PARK CITY,,80.0,,
14,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_APPLE_DESA PANDAN,,90.0,,
14,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_WORLD_AMPANG,,80.0,,
14,,rtw_st_serv_by_pack,rtw_s139_pak,rtw_PARKCITY_DESA PARK CITY,,62.0,,
14,,rtw_st_serv_by_pack,rtw_s139_pak,rtw_KPJ_JALAN PAHANG,,80.0,,
14,,rtw_st_serv_by_pack,rtw_s140_pak,rtw_PARKCITY_DESA PARK CITY,,62.0,,
14,,rtw_st_serv_by_pack,rtw_s141_pak,rtw_PARKCITY_DESA PARK CITY,,80.0,,
14,,rtw_st_serv_by_pack,rtw_s143_pak,rtw_PARKCITY_DESA PARK CITY,,80.0,,
14,,rtw_st_serv_by_pack,rtw_s143_pak,rtw_KPJ_JALAN PAHANG,,80.0,,
14,,rtw_st_serv_by_pack,rtw_s147_pak,rtw_WORLD_AMPANG,,65.0,,
14,,rtw_st_serv_by_pack,rtw_s148_pak,rtw_DIAMAGNETIC_CHERAS,,60.0,,
14,,rtw_st_serv_by_pack,rtw_s149_pak,rtw_PARKCITY_DESA PARK CITY,,61.0,,
14,,rtw_st_phy,rtw_s22_han,rtw_APPLE_DESA PANDAN,,30.0,,
14,,rtw_st_occ,rtw_s31_ott,rtw_APPLE_DESA PANDAN,,50.0,,
14,,rtw_st_occ,rtw_s42_sen,rtw_WQ_SRI RAMPAI,,80.0,,
14,,rtw_st_serv_by_mod,rtw_s191_bas,rtw_PARKCITY_DESA PARK CITY,,31.0,,
14,,rtw_st_serv_by_mod,rtw_s191_bas,rtw_WQ_SRI RAMPAI,,110.0,,
14,,rtw_st_serv_by_mod,rtw_s215_adv,rtw_NURSINAR_TAMAN SETIAWANGSA,,85.0,,
14,,rtw_st_serv_by_mod,rtw_s215_adv,rtw_GLOBAL,,85.0,,
