"ID","STATE_CODE","ZONE_CODE","SERVICE_TYPE","SERVICE","PANEL_CODE","PRICE_BY_SESSION","ADDBY","UPDBY","CREATED_AT","UPDATED_AT"
203,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_TAGS,"70.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
204,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_EZ,"70.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
205,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_MAWAR,"90.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
206,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_NSCMH,"90.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
207,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_SALAM,"90.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
208,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_COLUMBIA,"80.5",,,2021-01-19 17:11:54,2021-01-19 17:11:54
209,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_TAGS,"70.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
210,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_BAINS,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
211,,"2",rtw_st_phy,rtw_s32_hom,rtw_panel_2_REHAB,"100.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
212,,"2",rtw_st_phy,rtw_s32_hom,rtw_panel_2_GREAT,"110.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
213,,"2",rtw_st_phy,rtw_s32_hom,rtw_panel_2_BP,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
214,,"2",rtw_st_phy,rtw_s32_hom,rtw_panel_2_EPISODE,"100.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
215,,"2",rtw_st_phy,rtw_s32_hom,rtw_panel_2_PHYSIOMOBILEMY,"110.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
216,,"2",rtw_st_phy,rtw_s32_hom,rtw_panel_2_HMC,"110.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
217,,"2",rtw_st_phy,rtw_s32_hom,rtw_panel_2_EZ,"100.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
218,,"2",rtw_st_phy,rtw_s32_hom,rtw_panel_2_HMC,"110.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
219,,"2",rtw_st_phy,rtw_s32_hom,rtw_panel_2_BAINS,"100.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
220,,"2",rtw_st_phy,rtw_s20_che,rtw_panel_2_PUTRA,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
221,,"2",rtw_st_phy,rtw_s20_che,rtw_panel_2_EPISODE,"20.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
222,,"2",rtw_st_phy,rtw_s20_che,rtw_panel_2_COLUMBIA,"39.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
223,,"2",rtw_st_phy,rtw_s21_che,rtw_panel_2_PUTRA,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
224,,"2",rtw_st_phy,rtw_s21_che,rtw_panel_2_EPISODE,"30.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
225,,"2",rtw_st_phy,rtw_s21_che,rtw_panel_2_COLUMBIA,"39.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
226,,"2",rtw_st_occ,rtw_s25_occ,rtw_panel_2_PANTAI,"85.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
227,,"2",rtw_st_spe,rtw_s43_spe,rtw_panel_2_PANTAI,"130.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
